as,org_name,country,category,sub_category
1,"Level 3 Parent, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
2,University of Delaware,US,Education and Research,"Colleges, Universities, and Professional Schools"
3,Massachusetts Institute of Technology,US,Education and Research,"Colleges, Universities, and Professional Schools"
4,University of Southern California,US,Community Groups and Nonprofits,Other
5,WFA Group LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
6,"ATOS IT Solutions and Services, Inc.",US,Computer and Information Technology,Software Development
7,The Defence Science and Technology Laboratory,GB,Computer and Information Technology,Search
8,Rice University,US,"Media, Publishing, and Broadcasting",
9,Carnegie Mellon University,US,Education and Research,"Colleges, Universities, and Professional Schools"
10,CSNET Coordination and Information Center (CSNET-CIC),US,Education and Research,Research and Development Organizations
11,Harvard University,US,Community Groups and Nonprofits,
12,New York University,US,Education and Research,"Colleges, Universities, and Professional Schools"
13,"Headquarters, USAISC",US,Computer and Information Technology,Internet Service Provider (ISP)
14,Columbia University,US,"Media, Publishing, and Broadcasting",
15,DYNAMICS,US,Computer and Information Technology,Internet Service Provider (ISP)
16,Lawrence Berkeley National Laboratory,US,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",
17,Purdue University,US,Education and Research,"Colleges, Universities, and Professional Schools"
18,University of Texas at Austin,US,Community Groups and Nonprofits,
19,"Leidos, Inc.",US,Manufacturing,Machinery
20,University of Rochester,US,Education and Research,"Colleges, Universities, and Professional Schools"
21,The RAND Corporation,US,Health Care Services,
22,Navy Network Information Center (NNIC),US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
23,National Aeronautics and Space Administration,US,Education and Research,Research and Development Organizations
24,National Aeronautics and Space Administration,US,Education and Research,
25,University of California at Berkeley,US,Education and Research,"Colleges, Universities, and Professional Schools"
26,Cornell University,US,Education and Research,"Colleges, Universities, and Professional Schools"
27,University of Maryland,US,Education and Research,Other
28,Deutsches Zentrum fuer Luft- und Raumfahrt e.V.,DE,Education and Research,Research and Development Organizations
29,Yale University,US,"Media, Publishing, and Broadcasting",
30,SRI International,US,Computer and Information Technology,Computer and Network Security
31,California Institute of Technology,US,Education and Research,"Colleges, Universities, and Professional Schools"
32,Stanford University,US,Education and Research,"Colleges, Universities, and Professional Schools"
33,HP Inc.,US,Manufacturing,Electronics and Computer Components
34,University of Delaware,US,Education and Research,"Colleges, Universities, and Professional Schools"
35,The MITRE Corporation,US,Education and Research,Research and Development Organizations
36,SRI International,US,Computer and Information Technology,Computer and Network Security
37,Navy Network Information Center (NNIC),US,Manufacturing,
38,University of Illinois,US,Health Care Services,
39,DoD Network Information Center,US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
40,Massachusetts Institute of Technology,US,Education and Research,"Colleges, Universities, and Professional Schools"
41,National Aeronautics and Space Administration,US,Education and Research,
42,"WoodyNet, Inc.",US,Computer and Information Technology,
43,Brookhaven National Laboratory,US,Education and Research,Research and Development Organizations
44,Lawrence Livermore National Laboratory,US,Community Groups and Nonprofits,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
45,Lawrence Livermore National Laboratory,US,Community Groups and Nonprofits,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
46,"Rutgers, The State University",US,Education and Research,"Colleges, Universities, and Professional Schools"
47,University of Southern California,US,Community Groups and Nonprofits,
48,Navy Network Information Center (NNIC),US,Manufacturing,
49,US National Institute of Standards & Technology,US,Manufacturing,Electronics and Computer Components
50,Oak Ridge National Laboratory,US,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",
51,"Headquarters, USAISC",US,Computer and Information Technology,Internet Service Provider (ISP)
52,"University of California, Los Angeles",US,"Media, Publishing, and Broadcasting",
53,Northrop Grumman Corporation - Automation Sciences Laboratory,US,Service,Other
